labelAnnotations,fullTextAnnotation,image_file
"Team,Trousers,Jeans,Clothing,Recreation,T-shirt,Hat,Baseball cap,Shorts,Event",ANA,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_10.jpeg
"Crowd,Cap,Headgear,Jeans,Clothing,T-shirt,Fun,Baseball cap,Sleeve,Event",,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_100.jpeg
"Carmine,Crowd,Team,Red,Fan,T-shirt,Audience,Hat,Public event,Event","pharmacy
health
ome",clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1000.jpeg
"Crowd,Team,Public space,Fan,Red,T-shirt,Audience,Hat,Public event,Event","Tar
pharmacy
health
ome
brands you
LOVE",clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1001.jpeg
"Carmine,Crowd,Team,Red,Fan,T-shirt,Audience,Hat,Public event,Event",phomacy,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1002.jpeg
"Crowd,Team,Rebellion,Fan,Red,T-shirt,Hat,Public event,Product,Event","Card
pharmacy
health
me
uty
brands you
LOVE
32",clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1003.jpeg
"Crowd,Team,Fan,Red,T-shirt,Audience,Hat,Public event,Product,Event","pharmacy
ealth
brands you
LOVE",clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1004.jpeg
"Crowd,Team,Fan,Red,T-shirt,Audience,Hat,Public event,Product,Event","pharmacy
ealth
brands you
LOVE",clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1005.jpeg
"Crowd,Cap,Red,Fan,T-shirt,Audience,Hat,Baseball cap,Product,Event","豆花
pharmacy
health
brands you
LOVE
32",clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1006.jpeg
"Carmine,Crowd,Team,Red,Fan,T-shirt,Audience,Fun,Public event,Event","phomacy
health",clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1007.jpeg
"Crowd,Cap,Leisure,Fan,Red,T-shirt,Hat,Baseball cap,Product,Event","pharmacy
health
9
bands you
LOVE
brands you
LOVE
32",clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1008.jpeg
"Crowd,Team,Leisure,Red,Fan,Recreation,T-shirt,Hat,Public event,Event","phomacy
LOVE
LOVE
le",clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1009.jpeg
"Crowd,Cap,Leisure,Headgear,Jeans,T-shirt,Hat,Baseball cap,Mammal,Sleeve",EFF,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_101.jpeg
"Crowd,Team,Leisure,Red,Fan,Recreation,T-shirt,Fun,Public event,Event",,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1010.jpeg
"Crowd,Team,Leisure,Fan,Recreation,City,Magenta,Fun,Public event,Event",,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1011.jpeg
"Crowd,Team,Leisure,Fan,Red,Recreation,T-shirt,Magenta,Hat,Event","pharmacy
health
band you
LOVE
brand you
LOVE
ale",clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1012.jpeg
"Crowd,Team,Leisure,Red,Fan,Recreation,Magenta,Hat,Art,Event",,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1013.jpeg
"Crowd,Team,Leisure,Red,Fan,Recreation,T-shirt,Magenta,Fun,Event",,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1014.jpeg
"Crowd,Team,Leisure,Fan,Recreation,Magenta,Audience,Hat,Fun,Event",,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1015.jpeg
"Carmine,Crowd,Team,Leisure,Jeans,Fan,Recreation,Magenta,Font,Event",,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1016.jpeg
"Crowd,Team,Chair,Leisure,Jeans,Fan,Font,Hat,Fun,Event",Chamopy,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1017.jpeg
"Carmine,Crowd,Team,Chair,Leisure,Fan,Suit,Hat,Fun,Event",LOUIE,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1018.jpeg
"Engineering,Crowd,Team,Leisure,Fan,T-shirt,Audience,Fun,Stadium,Event",,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1019.jpeg
"Cap,Event,Headgear,Jeans,Recreation,T-shirt,Hat,Baseball cap,Sleeve,Vest","EFF
EFF",clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_102.jpeg
"Crowd,Team,Arena,Leisure,Fan,Audience,Hat,Fun,Stadium,Event",,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1020.jpeg
