position,randomise,channel_id,channel_title,video_id,url,published_at,published_at_sql,year,month,day,video_title,video_description,tags,video_category_label,duration_sec,definition,caption,default_language,default_l_audio_language,thumbnail_maxres,licensed_content,location_description,view_count,like_count,favorite_count,comment_count,controversy,clicks,body_politics,eff_lead,business,health,society,television_program,entertainment,lifestyle_(sociology),hobby,humour,politics,no_topics
73,659,UC8yH-uI81UUtEMDsowQyx1g,SABC News,_aH8qJLdKtI,https://www.youtube.com/watch?v=_aH8qJLdKtI,2020-09-07T10:37:05Z,2020-09-07 10:37:05,2020,9,7,EFF vs Clicks | Natasha Phiri updates on EFF's protest at Clicks in Sandton City,"The EFF has vowed to intensify its campaign against Clicks stores across the country following a controversial online advertisement. At least 3 Clicks stores have been petrol bombed or damaged in Emalahleni in Mpumalanga, Alberton in Johannesburg and in Polokwane in Limpopo. The EFF has distanced itself from the attacks on the stores. For more on EFF protest, we cross to our reporter Natasha Phiri in Sandton. For more news, visit sabcnews.com and also #SABCNews, #Coronavirus, #COVID19, #COVID-19News on Social Media.",sabc news;actuality;world news;local news;coronavirus;covid-19;covid-19 lockdown;covid-19 news;economic freedom fighters,News & Politics,459,hd,FALSE,NA,en,https://i.ytimg.com/vi/_aH8qJLdKtI/maxresdefault.jpg,1,NA,30302,203,0,103,yes,yes,yes,yes,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
74,277,UCxXiuc8GlOXv1e4HTccKFlg,KagiMersh,jpOUpFuupmY,https://www.youtube.com/watch?v=jpOUpFuupmY,2020-09-08T10:33:09Z,2020-09-08 10:33:09,2020,9,8,"Clicks store petrol bombed,another trashed over hair ad",NA,NA,Entertainment,94,hd,FALSE,NA,NA,https://i.ytimg.com/vi/jpOUpFuupmY/maxresdefault.jpg,1,NA,1455,14,0,4,yes,yes,yes,no,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
81,969,UCxPPgRYHH1NSp2Ya_ROiXxw,TimesLIVE Video,vXyam3MFMqw,https://www.youtube.com/watch?v=vXyam3MFMqw,2020-09-07T10:49:55Z,2020-09-07 10:49:55,2020,9,7,Clicks shutdown: Shivambu leads EFF protest in Sandton while other stores vandalised,"Members of the EFF, led by deputy president Floyd Shivambu, protested outside the Clicks retail store in Sandton City as part of a nationwide protest on September 7 2020. This comes after the retail group released a TRESemmé advert on its website that has been condemned by the EFF as racist. Meanwhile, police are investigating several incidents across the country where stores were vandalised. For more on this story: https://www.timeslive.co.za/news/south-africa/2020-09-08-clicks-obtains-order-barring-eff-members-from-intimidating-customers-staff/ #ClicksShutdown #EFF #ClicksProtest Subscribe to MultimediaLIVE here: https://www.youtube.com/user/TimesLive Comment Moderation Policy: https://www.timeslive.co.za/comments/",NA,News & Politics,109,hd,FALSE,NA,NA,https://i.ytimg.com/vi/vXyam3MFMqw/maxresdefault.jpg,1,NA,48765,67,0,41,yes,yes,yes,yes,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
86,470,UCDJghVjGFCp6ynnX3GidHpw,Wesley Fester,yZM41smZoFw,https://www.youtube.com/watch?v=yZM41smZoFw,2020-09-08T13:07:34Z,2020-09-08 13:07:34,2020,9,8,EFF closes Clicks stores for a second day,"The Economic Freedom Fighters (EFF), South Africa’s third largest political party, today continued with their mass protests to close the stores of health and beauty retailer Clicks, across South Africa. Clicks is one of the largest retail chain brands in South Africa. The company came under from the EFF and on social media after an advertisement on their website depicted natural hair as “dry and damaged” while the hair of a white woman was depicted as “fine and normal”. Clicks was today granted a high court interdict prohibiting the EFF from disrupting their business operations or intimidating their staff. Despite the interdict, the EFF continued with the closure of stores. Clicks has announced that a senior executive responsible for placing the images has resigned and junior staff involved have been suspended. The company has also removed all Tresseme products from its shelves and made a decision to expand its range of natural hair products.",wesley fester;south africa;news;journalism;breaking news;current affairs,News & Politics,73,hd,FALSE,NA,NA,NA,1,NA,241,1,0,0,yes,yes,yes,yes,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
91,615,UCF-A_4x9-bLrxXrmgBOWuJA,Economic Freedom Fighters,lfftUjkmEyY,https://www.youtube.com/watch?v=lfftUjkmEyY,2020-09-07T08:16:45Z,2020-09-07 8:16:45,2020,9,7,"CIC Julius Malema at Clicks, Mall of the North #ClicksMustFall",A conversation with a panel of experts on the range of themes covered during the EFF Women's Month Series,NA,News & Politics,70,hd,FALSE,NA,en-US,https://i.ytimg.com/vi/lfftUjkmEyY/maxresdefault.jpg,NA,NA,3332,47,0,0,yes,yes,yes,no,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
98,758,UCWVbAybOwwpod4hfiDvc03Q,The Brother Leader,d-2PhlnrlTM,https://www.youtube.com/watch?v=d-2PhlnrlTM,2020-09-09T20:59:15Z,2020-09-09 20:59:15,2020,9,9,Racist Clicks Advertisement Unpacked,"This is video seeks to highlight the depth of hurt Clicks (South African retailer) has caused to millions of black people, in particular black women in South African and across the world. Clicks has put up an advertisement on their website which describes black people's hair as damaged and white people's hair as ""normal"". There is no place for racists/racism in this world!",NA,People & Blogs,960,hd,FALSE,NA,NA,https://i.ytimg.com/vi/d-2PhlnrlTM/maxresdefault.jpg,NA,NA,118,10,0,9,yes,yes,yes,no,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
100,117,UC7CXDA7ZCU9Od6qzQr6phww,Eyewitness News,bnSDYxZP4lM,https://www.youtube.com/watch?v=bnSDYxZP4lM,2020-09-08T07:15:50Z,2020-09-08 7:15:50,2020,9,8,"""Clicks must go to hell"" - EFF protest against store's racist advert",EFF members gathered outside Clicks stores across the country in protest against a racist hair product advert which the retailer posted on its website. #EFF #Clicks ClicksMustFall,NA,News & Politics,202,hd,FALSE,NA,en-GB,https://i.ytimg.com/vi/bnSDYxZP4lM/maxresdefault.jpg,1,NA,103949,549,0,803,yes,yes,yes,yes,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
110,307,UC5G5Dy8-mmp27jo6Frht7iQ,Umgosi Entertainment,LwyXeTllzDc,https://www.youtube.com/watch?v=LwyXeTllzDc,2020-09-14T09:08:47Z,2020-09-14 9:08:47,2020,9,14,HERE IS WHAT VUSI THEMBEKWAYO SAID ABOUT CLICKS HAIR ADVERTS AND THE PROTEST | TRENDINGSA,"HEY SWEETIES HERE IS WHAT VUSI THEMBEKWAYO SAID ABOUT CLICKS HAIR ADVERTS AND THE PROTEST , WATCH THE VIDEO TILL THE END TO GET THE FULL INSIGHT #TRENDINGSA",NA,People & Blogs,485,sd,FALSE,NA,en-US,NA,1,South Africa,550,7,0,1,yes,yes,yes,no,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
120,945,UCMTJdjeJ148pudakrag1azw,King Mshotinarry,KhWmtpOvdjs,https://www.youtube.com/watch?v=KhWmtpOvdjs,2020-09-07T04:00:15Z,2020-09-07 4:00:15,2020,9,7,EFF calls shut down of all Clicks stores in South Africa over a racist ad & Clicks denies,Clicks issued an apology hower EFF ayizwile and they are willing to shut down all stores across South Africa.,eff;clicks;racist;denied,Education,116,sd,FALSE,NA,en-GB,https://i.ytimg.com/vi/KhWmtpOvdjs/maxresdefault.jpg,NA,NA,1775,12,0,2,yes,yes,yes,yes,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
126,916,UCoemSA2Kr6MoNgDMOS5gcyg,Rich SA,_x97wV0adRM,https://www.youtube.com/watch?v=_x97wV0adRM,2020-09-07T09:47:06Z,2020-09-07 9:47:06,2020,9,7,Racist ad cost Clicks stores All over South Africa 👉 shutdown| Eff leader Julius malema Explains|,#Clicksad #eff #shutdownClicks,NA,People & Blogs,327,hd,FALSE,NA,NA,NA,NA,NA,23,4,0,1,yes,yes,yes,yes,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
